peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
SIMN,Simnang Himal,6251,Climbed,2001,Ukraine,SIMN01101
HCHI,Hungchhi,7029,Climbed,2003,"Japan, Nepal",HCHI03102
LAMP,Lampo,6648,Unclimbed,NA,NA,NA
CHUK,Chhukung Tse,5833,Climbed,1953,"UK, Nepal",CHUK53101
DZAN,Dzanye,6581,Climbed,1949,Switzerland,DZAN49101
GAUG,Gaugiri,6110,Climbed,2002,USA,GAUG02101
TKPO,Tengkangpoche,6482,Climbed,1984,"UK, USA",TKPO84301
ARNK,Arniko Chuli,6034,Climbed,2002,"Japan, Nepal",ARNK02201
SARI,Saribung,6328,Climbed,2003,USA,SARI03301
GHEN,Ghenge Liru,6596,Climbed,1963,"UK, Nepal",GHEN63101
NAUL,Naulekh,6340,Climbed,1954,New Zealand,NAUL54101
CHEK,Chekigo,6121,Climbed,2005,"UK, Switzerland",CHEK05101
KTUN,Khatung Khang,6484,Climbed,1956,Switzerland,KTUN56101
CHAG,Chago,6893,Climbed,1954,"New Zealand, Nepal",CHAG54101
NUMR,Numri,6635,Climbed,2002,Germany,NUMR02301
PK41,Peak 41,6648,Climbed,2002,Slovenia,PK4102301
KYAZ,Kyazo Ri,6151,Climbed,2002,"UK, France",KYAZ02301
PAND,Pandra,6670,Climbed,2002,Denmark,PAND02301
DANG,Danga,6220,Climbed,2002,Denmark,DANG02301
POKR,Pokharkang,6372,Climbed,2002,"UK, Nepal",POKR02301
NAG1,Nangpai Gosum I,7321,Climbed,2017,Germany,NAG117301
KGRI,Khangri Shar,6792,Unclimbed,NA,NA,NA
KGRW,Khangri West,6658,Unclimbed,NA,NA,NA
PURB,Purbung Himal,6500,Unclimbed,NA,NA,NA
TASH,Tashi Kang,6386,Climbed,2002,"Japan, Nepal",TASH02201
TENR,Tengi Ragi Tau,6938,Climbed,2002,"Japan, Nepal",TENR02401
KYAS,Kyashar,6770,Climbed,2003,"UK, Austria, Swiss",KYAS03301
NREK,Nirekha,6159,Climbed,NA,NA,NA
NORB,Norbu Kang,6085,Climbed,2003,"Japan, Nepal",NORB03201
LNKE,Lunchhung Kamo East,6024,Climbed,1999,"Japan, Nepal",LNKE99201
LIK1,Linkhu Chuli Shar,6719,Climbed,2013,Germany,LIK113301
LIK2,Linkhu Chuli Nup,6659,Climbed,1960,"France, Nepal",LIK260301
PANT,Panalotapa,6687,Climbed,1955,UK,PANT55101
SHAL,Shalbachum,6707,Climbed,1959,"Japan, Nepal",SHAL59301
KHUM,Khumbutse,6639,Unclimbed,NA,NA,NA
BOKT,Boktoh,6114,Climbed,1991,Yugoslavia,BOKT91101
